series_type,date,ron95,ron97,diesel,diesel_eastmsia
change_weekly,2017/11/16,0.06999999999999984,0.06000000000000005,0.04999999999999982,0.04999999999999982
change_weekly,2017/11/23,-0.08,-0.08,-0.02,-0.02
change_weekly,2017/11/30,0,0,0.020000000000000018,0.020000000000000018
change_weekly,2017/12/7,-0.01,-0.01,-0.04,-0.04
change_weekly,2017/12/14,-0.04,-0.05,-0.01,-0.01
change_weekly,2017/12/21,0.020000000000000018,0.020000000000000018,0.029999999999999805,0.029999999999999805
change_weekly,2017/12/28,-0.01,-0.01,0.029999999999999805,0.029999999999999805
change_weekly,2018/1/4,0.03000000000000025,0.03000000000000025,0.06000000000000005,0.06000000000000005
change_weekly,2018/1/11,-0.03,-0.03,0,0
change_weekly,2018/1/18,0.040000000000000036,0.040000000000000036,0,0
change_weekly,2018/1/25,-0.01,-0.01,-0.01,-0.01
change_weekly,2018/2/1,0.020000000000000018,0.020000000000000018,0.029999999999999805,0.029999999999999805
change_weekly,2018/2/8,0.020000000000000018,0.029999999999999805,-0.03,-0.03
change_weekly,2018/2/15,-0.1,-0.11,-0.12,-0.12
change_weekly,2018/2/22,-0.06,-0.07,-0.06,-0.06
change_weekly,2018/3/1,0.03000000000000025,0.040000000000000036,0.050000000000000266,0.050000000000000266
change_weekly,2018/3/8,0.009999999999999787,0,-0.01,-0.01
change_weekly,2018/3/15,-0.03,-0.02,-0.01,-0.01
change_weekly,2018/3/22,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018
change_weekly,2018/3/29,0,0,0,0
change_weekly,2018/4/5,0,0,0,0
change_weekly,2018/4/12,0,0,0,0
change_weekly,2018/4/19,0,0,0,0
change_weekly,2018/4/26,0,0,0,0
change_weekly,2018/5/3,0,0,0,0
change_weekly,2018/5/10,0,0,0,0
change_weekly,2018/6/7,0,0.18999999999999995,0,0
change_weekly,2018/6/14,0,-0.06,0,0
change_weekly,2018/6/21,0,-0.01,0,0
change_weekly,2018/6/28,0,-0.09,0,0
change_weekly,2018/7/5,0,0.08000000000000007,0,0
change_weekly,2018/7/12,0,0.009999999999999787,0,0
change_weekly,2018/7/19,0,-0.03,0,0
change_weekly,2018/7/26,0,-0.02,0,0
change_weekly,2018/8/2,0,0.10000000000000009,0,0
change_weekly,2018/8/9,0,-0.03,0,0
change_weekly,2018/8/16,0,0.040000000000000036,0,0
change_weekly,2018/8/23,0,0,0,0
change_weekly,2018/8/30,0,0.040000000000000036,0,0
change_weekly,2018/10/1,0,0.10000000000000009,0,0
change_weekly,2018/11/1,0,0.020000000000000018,0,0
change_weekly,2018/12/1,0,-0.31,0,0
change_weekly,2019/1/1,0,0,0,0
change_weekly,2019/1/5,-0.27,-0.27,-0.14,-0.14
change_weekly,2019/1/12,-0.01,-0.01,0.009999999999999787,0.009999999999999787
change_weekly,2019/1/19,0.06000000000000005,0.05999999999999961,0.1200000000000001,0.1200000000000001
change_weekly,2019/1/26,0,0,0.010000000000000231,0.010000000000000231
change_weekly,2019/2/2,-0.05,-0.05,0,0
change_weekly,2019/2/9,0.040000000000000036,0.040000000000000036,0,0
change_weekly,2019/2/16,0.010000000000000009,0.009999999999999787,0,0
change_weekly,2019/2/23,0.10000000000000009,0.10000000000000009,0,0
change_weekly,2019/3/2,0,0.050000000000000266,0,0
change_weekly,2019/3/9,0,0.029999999999999805,0,0
change_weekly,2019/3/16,0,0.08000000000000007,0,0
change_weekly,2019/3/23,0,0.06999999999999984,0,0
change_weekly,2019/3/30,0,0.020000000000000018,0,0
change_weekly,2019/4/6,0,0,0,0
change_weekly,2019/4/13,0,0.050000000000000266,0,0
change_weekly,2019/4/20,0,0.11999999999999966,0,0
change_weekly,2019/4/27,0,0.010000000000000231,0,0
change_weekly,2019/5/4,0,-0.01,0,0
change_weekly,2019/5/11,0,-0.1,0,0
change_weekly,2019/5/18,0,-0.02,0,0
change_weekly,2019/5/25,0,0.07999999999999963,0,0
change_weekly,2019/6/1,0,-0.13,0,0
change_weekly,2019/6/15,0,-0.22,0,0
change_weekly,2019/6/22,0,-0.03,0,0
change_weekly,2019/6/29,0,0.11000000000000032,0,0
change_weekly,2019/7/6,0,0.03999999999999959,0,0
change_weekly,2019/7/13,0,0.040000000000000036,0,0
change_weekly,2019/7/20,0,0.10000000000000009,0,0
change_weekly,2019/7/27,0,-0.11,0,0
change_weekly,2019/8/3,0,-0.02,0,0
change_weekly,2019/8/10,0,-0.05,0,0
change_weekly,2019/8/17,0,0,0,0
change_weekly,2019/8/24,0,0.019999999999999574,0,0
change_weekly,2019/8/31,0,-0.01,0,0
change_weekly,2019/9/7,0,0,0,0
change_weekly,2019/9/14,0,0.029999999999999805,0,0
change_weekly,2019/9/21,0,0.14000000000000012,0,0
change_weekly,2019/9/28,0,0.1200000000000001,0,0
change_weekly,2019/10/5,0,-0.19,0,0
change_weekly,2019/10/12,0,0.06999999999999984,0,0
change_weekly,2019/10/19,0,0.010000000000000231,0,0
change_weekly,2019/10/26,0,-0.09,0,0
change_weekly,2019/11/2,0,-0.03,0,0
change_weekly,2019/11/9,0,0.009999999999999787,0,0
change_weekly,2019/11/16,0,0.13000000000000034,0,0
change_weekly,2019/11/23,0,-0.04,0,0
change_weekly,2019/11/30,0,0,0,0
change_weekly,2019/12/7,0,-0.02,0,0
change_weekly,2019/12/14,0,0,0,0
change_weekly,2019/12/21,0,-0.06,0,0
change_weekly,2019/12/28,0,0.04999999999999982,0,0
change_weekly,2020/1/4,0,0.020000000000000018,0,0
change_weekly,2020/1/11,0,-0.03,0,0
change_weekly,2020/1/18,0,-0.09,0,0
change_weekly,2020/1/25,0,-0.04,0,0
change_weekly,2020/2/1,0,-0.08,0,0
change_weekly,2020/2/8,-0.04,-0.07,-0.1,-0.1
change_weekly,2020/2/15,0.020000000000000018,0.020000000000000018,0.06000000000000005,0.06000000000000005
change_weekly,2020/2/22,0.020000000000000018,0.020000000000000018,0,0
change_weekly,2020/2/29,0,0.020000000000000018,-0.01,-0.01
change_weekly,2020/3/7,-0.19,-0.21,-0.17,-0.17
change_weekly,2020/3/14,-0.07,-0.09,-0.09,-0.09
change_weekly,2020/3/21,-0.38,-0.36,-0.12,-0.12
change_weekly,2020/3/28,-0.06,-0.06,-0.07,-0.07
change_weekly,2020/4/4,-0.08,-0.08,-0.1,-0.1
change_weekly,2020/4/11,-0.05,-0.05,-0.12,-0.12
change_weekly,2020/4/18,0,0,-0.03,-0.03
change_weekly,2020/4/25,0,0,-0.03,-0.03
change_weekly,2020/5/2,0,0,0,0
change_weekly,2020/5/9,0,0,0,0
change_weekly,2020/5/16,0.06000000000000005,0.06000000000000005,0.050000000000000044,0.050000000000000044
change_weekly,2020/5/23,0.06999999999999984,0.06999999999999984,0.06000000000000005,0.06000000000000005
change_weekly,2020/5/30,0.050000000000000044,0.050000000000000044,0.10000000000000009,0.10000000000000009
change_weekly,2020/6/6,0.050000000000000044,0.050000000000000044,0.019999999999999796,0.019999999999999796
change_weekly,2020/6/13,0.08000000000000007,0.08000000000000007,0.10000000000000009,0.10000000000000009
change_weekly,2020/6/20,0.030000000000000027,0.029999999999999805,0.040000000000000036,0.040000000000000036
change_weekly,2020/6/27,0.09999999999999987,0.10000000000000009,0.09000000000000008,0.09000000000000008
change_weekly,2020/7/4,-0.04,-0.04,-0.02,-0.02
change_weekly,2020/7/11,0.07000000000000006,0.07000000000000006,0.030000000000000027,0.030000000000000027
change_weekly,2020/7/18,0,0,0,0
change_weekly,2020/7/25,-0.04,-0.04,-0.05,-0.05
change_weekly,2020/8/1,0,0,0.010000000000000009,0.010000000000000009
change_weekly,2020/8/8,-0.05,-0.05,-0.04,-0.04
change_weekly,2020/8/15,0.050000000000000044,0.050000000000000044,0.030000000000000027,0.030000000000000027
change_weekly,2020/8/22,0.030000000000000027,0.029999999999999805,-0.02,-0.02
change_weekly,2020/8/29,0.010000000000000009,0.010000000000000231,-0.02,-0.02
change_weekly,2020/9/5,-0.01,-0.01,0,0
change_weekly,2020/9/12,-0.05,-0.05,-0.06,-0.06
change_weekly,2020/9/19,-0.03,-0.03,-0.05,-0.05
change_weekly,2020/9/26,0.050000000000000044,0.050000000000000044,0.040000000000000036,0.040000000000000036
change_weekly,2020/10/3,0.030000000000000027,0.029999999999999805,-0.01,-0.01
change_weekly,2020/10/10,-0.04,-0.04,-0.01,-0.01
change_weekly,2020/10/17,0.010000000000000009,0.010000000000000009,0.050000000000000044,0.050000000000000044
change_weekly,2020/10/24,-0.04,-0.04,0,0
change_weekly,2020/10/31,0,0,0,0
change_weekly,2020/11/7,-0.03,-0.03,-0.06,-0.06
change_weekly,2020/11/14,0.010000000000000009,0.010000000000000009,0.06000000000000005,0.06000000000000005
change_weekly,2020/11/21,0.019999999999999796,0.020000000000000018,0.07000000000000006,0.07000000000000006
change_weekly,2020/11/28,0.030000000000000027,0.030000000000000027,0.040000000000000036,0.040000000000000036
change_weekly,2020/12/5,0.030000000000000027,0.030000000000000027,0.04999999999999982,0.04999999999999982
change_weekly,2020/12/12,0.030000000000000027,0.029999999999999805,0.030000000000000027,0.030000000000000027
change_weekly,2020/12/19,0.050000000000000044,0.050000000000000266,0.030000000000000027,0.030000000000000027
change_weekly,2020/12/26,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018
change_weekly,2021/1/2,0.040000000000000036,0.040000000000000036,0.029999999999999805,0.029999999999999805
change_weekly,2021/1/9,0,0,0.010000000000000231,0.010000000000000231
change_weekly,2021/1/16,0.04999999999999982,0.04999999999999982,0.029999999999999805,0.029999999999999805
change_weekly,2021/1/23,0.010000000000000009,0.010000000000000231,0.040000000000000036,0.040000000000000036
change_weekly,2021/1/30,0,0,-0.02,-0.02
change_weekly,2021/2/6,0.030000000000000027,0.029999999999999805,0.040000000000000036,0.040000000000000036
change_weekly,2021/2/13,0.030000000000000027,0.029999999999999805,0.040000000000000036,0.040000000000000036
change_weekly,2021/2/20,0.040000000000000036,0.040000000000000036,0,0
change_weekly,2021/2/27,0.04999999999999982,0.050000000000000266,0,0
change_weekly,2021/3/4,0,0,0,0
change_weekly,2021/3/11,0,0.04999999999999982,0,0
change_weekly,2021/3/18,0,0.07000000000000028,0,0
change_weekly,2021/3/25,0,0.029999999999999805,0,0
change_weekly,2021/4/1,0,0.020000000000000018,0,0
change_weekly,2021/4/8,0,0.020000000000000018,0,0
change_weekly,2021/4/15,0,0,0,0
change_weekly,2021/4/22,0,0.040000000000000036,0,0
change_weekly,2021/4/29,0,0,0,0
change_weekly,2021/5/6,0,0.020000000000000018,0,0
change_weekly,2021/5/13,0,0,0,0
change_weekly,2021/5/20,0,0.009999999999999787,0,0
change_weekly,2021/5/27,0,0,0,0
change_weekly,2021/6/3,0,0.020000000000000018,0,0
change_weekly,2021/6/10,0,0.020000000000000018,0,0
change_weekly,2021/6/17,0,0.020000000000000018,0,0
change_weekly,2021/6/24,0,0,0,0
change_weekly,2021/7/1,0,0.020000000000000018,0,0
change_weekly,2021/7/8,0,0.010000000000000231,0,0
change_weekly,2021/7/15,0,0.029999999999999805,0,0
change_weekly,2021/7/22,0,0,0,0
change_weekly,2021/7/28,0,0.010000000000000231,0,0
change_weekly,2021/8/5,0,0,0,0
change_weekly,2021/8/12,0,0,0,0
change_weekly,2021/8/19,0,0,0,0
change_weekly,2021/8/26,0,-0.02,0,0
change_weekly,2021/9/2,0,0,0,0
change_weekly,2021/9/9,0,0.009999999999999787,0,0
change_weekly,2021/9/16,0,0,0,0
change_weekly,2021/9/23,0,0.020000000000000018,0,0
change_weekly,2021/9/30,0,0.009999999999999787,0,0
change_weekly,2021/10/7,0,0.010000000000000231,0,0
change_weekly,2021/10/14,0,0.10000000000000009,0,0
change_weekly,2021/10/21,0,0,0,0
change_weekly,2021/10/28,0,0.10000000000000009,0,0
change_weekly,2021/11/4,0,0.08999999999999986,0,0
change_weekly,2021/11/11,0,0.020000000000000018,0,0
change_weekly,2021/11/18,0,0,0,0
change_weekly,2021/11/25,0,-0.03,0,0
change_weekly,2021/12/2,0,-0.03,0,0
change_weekly,2021/12/9,0,-0.03,0,0
change_weekly,2021/12/16,0,0.009999999999999787,0,0
change_weekly,2021/12/23,0,-0.01,0,0
change_weekly,2021/12/30,0,0.009999999999999787,0,0
change_weekly,2022/1/6,0,0.029999999999999805,0,0
change_weekly,2022/1/13,0,0.040000000000000036,0,0
change_weekly,2022/1/20,0,0,0,0
change_weekly,2022/1/27,0,0.050000000000000266,0,0
change_weekly,2022/2/3,0,0,0,0
change_weekly,2022/2/10,0,0.08999999999999986,0,0
change_weekly,2022/2/17,0,0.06000000000000005,0,0
change_weekly,2022/2/24,0,0.020000000000000018,0,0
change_weekly,2022/3/3,0,0.16000000000000014,0,0
change_weekly,2022/3/10,0,0.2999999999999998,0,0
change_weekly,2022/3/17,0,0.25,0,0
change_weekly,2022/3/24,0,-0.17,0,0
change_weekly,2022/3/31,0,0.08000000000000007,0,0
change_weekly,2022/4/7,0,-0.1,0,0
change_weekly,2022/4/14,0,0,0,0
change_weekly,2022/4/21,0,0,0,0
change_weekly,2022/4/28,0,0.1299999999999999,0,0
change_weekly,2022/5/5,0,0,0,0
change_weekly,2022/5/12,0,0.36999999999999966,0,0
change_weekly,2022/5/19,0,0.020000000000000462,0,0
change_weekly,2022/5/26,0,0.3700000000000001,0,0
change_weekly,2022/6/2,0,0,0,0
change_weekly,2022/6/9,0,0.019999999999999574,0,0
change_weekly,2022/6/16,0,0.11000000000000032,0,0
change_weekly,2022/6/23,0,0.009999999999999787,0,0
change_weekly,2022/6/30,0,0,0,0
change_weekly,2022/7/7,0,-0.04,0,0
change_weekly,2022/7/14,0,-0.05,0,0
change_weekly,2022/7/21,0,-0.1,0,0
change_weekly,2022/7/28,0,-0.1,0,0
change_weekly,2022/8/4,0,-0.05,0,0
change_weekly,2022/8/11,0,-0.1,0,0
change_weekly,2022/8/18,0,-0.05,0,0
change_weekly,2022/8/25,0,-0.05,0,0
change_weekly,2022/9/1,0,0,0,0
change_weekly,2022/9/8,0,-0.1,0,0
change_weekly,2022/9/14,0,-0.05,0,0
change_weekly,2022/9/22,0,-0.1,0,0
change_weekly,2022/9/29,0,-0.05,0,0
change_weekly,2022/10/6,0,-0.05,0,0
change_weekly,2022/10/13,0,0,0,0
change_weekly,2022/10/20,0,0,0,0
change_weekly,2022/10/27,0,0,0,0
change_weekly,2022/11/3,0,0,0,0
change_weekly,2022/11/10,0,0,0,0
change_weekly,2022/11/17,0,0,0,0
change_weekly,2022/11/24,0,0,0,0
change_weekly,2022/12/1,0,-0.1,0,0
change_weekly,2022/12/8,0,-0.1,0,0
change_weekly,2022/12/15,0,-0.2,0,0
change_weekly,2022/12/22,0,-0.2,0,0
change_weekly,2022/12/29,0,0,0,0
change_weekly,2023/1/5,0,0,0,0
change_weekly,2023/1/12,0,0,0,0
change_weekly,2023/1/19,0,0,0,0
change_weekly,2023/1/26,0,0,0,0
change_weekly,2023/2/2,0,0,0,0
change_weekly,2023/2/9,0,0,0,0
change_weekly,2023/2/16,0,0,0,0
change_weekly,2023/2/23,0,0,0,0
change_weekly,2023/3/2,0,0,0,0
change_weekly,2023/3/9,0,0,0,0
change_weekly,2023/3/16,0,0,0,0
change_weekly,2023/3/23,0,0,0,0
change_weekly,2023/3/30,0,0,0,0
change_weekly,2023/4/6,0,0,0,0
change_weekly,2023/4/13,0,0,0,0
change_weekly,2023/4/20,0,0,0,0
change_weekly,2023/4/27,0,0,0,0
change_weekly,2023/5/4,0,0,0,0
change_weekly,2023/5/11,0,0,0,0
change_weekly,2023/5/18,0,0,0,0
change_weekly,2023/5/25,0,0,0,0
change_weekly,2023/6/1,0,0.020000000000000018,0,0
change_weekly,2023/6/8,0,0,0,0
change_weekly,2023/6/15,0,0,0,0
change_weekly,2023/6/22,0,0,0,0
change_weekly,2023/6/29,0,0,0,0
change_weekly,2023/7/6,0,0,0,0
change_weekly,2023/7/13,0,0,0,0
change_weekly,2023/7/20,0,0,0,0
change_weekly,2023/7/27,0,0,0,0
change_weekly,2023/8/3,0,0,0,0
change_weekly,2023/8/10,0,0,0,0
change_weekly,2023/8/17,0,0,0,0
change_weekly,2023/8/24,0,0,0,0
change_weekly,2023/8/31,0,0,0,0
change_weekly,2023/9/7,0,0,0,0
change_weekly,2023/9/14,0,0,0,0
change_weekly,2023/9/21,0,0,0,0
change_weekly,2023/9/28,0,0,0,0
change_weekly,2023/10/5,0,0,0,0
change_weekly,2023/10/12,0,0,0,0
change_weekly,2023/10/19,0,0.10000000000000009,0,0
change_weekly,2023/10/26,0,0,0,0
change_weekly,2023/11/2,0,0,0,0
change_weekly,2023/11/9,0,0,0,0
change_weekly,2023/11/16,0,0,0,0
change_weekly,2023/11/23,0,0,0,0
change_weekly,2023/11/30,0,0,0,0
change_weekly,2023/12/7,0,0,0,0
change_weekly,2023/12/14,0,0,0,0
change_weekly,2023/12/21,0,0,0,0
change_weekly,2023/12/28,0,0,0,0
change_weekly,2024/1/4,0,0,0,0
change_weekly,2024/1/11,0,0,0,0
change_weekly,2024/1/18,0,0,0,0
change_weekly,2024/1/25,0,0,0,0
change_weekly,2024/2/1,0,0,0,0
change_weekly,2024/2/8,0,0,0,0
change_weekly,2024/2/15,0,0,0,0
change_weekly,2024/2/22,0,0,0,0
change_weekly,2024/2/29,0,0,0,0
change_weekly,2024/3/7,0,0,0,0
change_weekly,2024/3/14,0,0,0,0
change_weekly,2024/3/21,0,0,0,0
change_weekly,2024/3/28,0,0,0,0
change_weekly,2024/4/4,0,0,0,0
change_weekly,2024/4/11,0,0,0,0
change_weekly,2024/4/18,0,0,0,0
change_weekly,2024/4/25,0,0,0,0
change_weekly,2024/5/2,0,0,0,0
change_weekly,2024/5/9,0,0,0,0
change_weekly,2024/5/16,0,0,0,0
change_weekly,2024/5/23,0,0,0,0
change_weekly,2024/5/30,0,0,0,0
change_weekly,2024/6/6,0,0,0,0
change_weekly,2024/6/10,0,0,1.2000000000000002,0
change_weekly,2024/6/13,0,0,0,0
change_weekly,2024/6/20,0,0,0,0
change_weekly,2024/6/27,0,0,0,0
change_weekly,2024/7/4,0,0,0,0
change_weekly,2024/7/11,0,0,0,0
change_weekly,2024/7/18,0,0,0,0
change_weekly,2024/7/25,0,0,0,0
change_weekly,2024/8/1,0,0,0,0
change_weekly,2024/8/8,0,0,-0.05,0
change_weekly,2024/8/15,0,0,-0.05,0
change_weekly,2024/8/22,0,0,-0.02,0
change_weekly,2024/8/29,0,-0.05,-0.05,0
change_weekly,2024/9/5,0,-0.02,-0.02,0
change_weekly,2024/9/12,0,-0.15,-0.15,0
change_weekly,2024/9/19,0,-0.06,-0.06,0
change_weekly,2024/9/26,0,0,0,0
change_weekly,2024/10/3,0,0,0,0
change_weekly,2024/10/10,0,0,0,0
change_weekly,2024/10/17,0,0,0,0
change_weekly,2024/10/24,0,0,0,0
change_weekly,2024/10/31,0,0,0,0
change_weekly,2024/11/7,0,0,0,0
change_weekly,2024/11/14,0,0,0,0
change_weekly,2024/11/21,0,0,0,0
change_weekly,2024/11/28,0,0,0,0
change_weekly,2024/12/5,0,0,0,0
change_weekly,2024/12/12,0,0,0,0
change_weekly,2024/12/19,0,0.03000000000000025,0,0
change_weekly,2024/12/26,0,0.029999999999999805,0,0
change_weekly,2025/1/2,0,0.029999999999999805,0.029999999999999805,0
change_weekly,2025/1/9,0,0.050000000000000266,0.04999999999999982,0
change_weekly,2025/1/16,0,0.04999999999999982,0.050000000000000266,0
change_weekly,2025/1/23,0,0.050000000000000266,0.04999999999999982,0
change_weekly,2025/1/30,0,0,0.050000000000000266,0
change_weekly,2025/2/6,0,0,0,0
change_weekly,2025/2/13,0,0,0,0
change_weekly,2025/2/20,0,0,0,0
change_weekly,2025/2/27,0,0,0,0
change_weekly,2025/3/6,0,-0.05,-0.05,0
change_weekly,2025/3/13,0,-0.1,-0.07,0
change_weekly,2025/3/20,0,0,-0.03,0
change_weekly,2025/3/27,0,0,0,0
change_weekly,2025/4/3,0,0.050000000000000266,0,0
